juv_other_count,score_text,priors_count,juv_misd_count,juvenile_total,sex,age_cat,id,c_charge_degree,two_year_recid,juv_fel_count,age_in_months,race,prior_offenses,age,decile_score
1,Low,0.0,0,1.0,Male,25 - 45,8423,F,0,0.0,324.0,African-American,0.0,27.0,2
0,High,3.0,0,0.0,Male,Less than 25,4137,M,1,0.0,276.0,Caucasian,3.0,23.0,8
0,Low,2.0,0,0.0,male,25 - 45,5064,F,1,0.0,336.0,Caucasian,2.0,28.0,2
0,High,2.0,0,0.0,female,Less than 25,56,F,0,,252.0,African-American,2.0,21.0,8
0,Low,1.0,0,0.0,Male,25 - 45,9369,M,0,0.0,372.0,African-American,1.0,31.0,4
0,Low,,0,0.0,Female,Greater than 45,7663,F,0,0.0,612.0,Caucasian,,51.0,1
1,High,18.0,2,3.0,MALE,25 - 45,967,F,1,0.0,324.0,African-American,18.0,27.0,9
0,High,1.0,0,0.0,Male,Less than 25,718,F,1,0.0,240.0,African-American,1.0,20.0,10
0,Low,1.0,0,0.0,Male,25 - 45,10296,F,0,0.0,480.0,?,1.0,40.0,3
0,High,16.0,0,0.0,Male,25 - 45,3086,F,1,0.0,372.0,Hispanic,16.0,31.0,10
0,Medium,6.0,0,0.0,Female,25 - 45,10873,M,1,0.0,336.0,African-American,6.0,28.0,5
0,High,,0,0.0,Female,Greater than 45,3243,F,1,0.0,552.0,African-American,,46.0,8
0,Low,1.0,0,0.0,Male,25 - 45,4159,F,1,0.0,492.0,Caucasian,1.0,41.0,2
0,Medium,1.0,0,0.0,Male,Less than 25,10680,F,1,0.0,264.0,African-American,1.0,22.0,6
0,Medium,7.0,0,0.0,Male,25 - 45,7813,F,0,0.0,312.0,African-American,7.0,26.0,6
0,Medium,0.0,0,0.0,Male,Less than 25,3274,F,0,0.0,252.0,African-American,0.0,21.0,6
0,Low,0.0,0,0.0,Male,Less than 25,271,F,0,0.0,288.0,Other,0.0,24.0,2
0,Low,0.0,0,0.0,Female,25 - 45,154,F,1,0.0,468.0,Caucasian,0.0,39.0,1
0,Low,1.0,0,0.0,Female,25 - 45,3455,F,0,0.0,300.0,African-American,1.0,25.0,3
0,Low,-,0,0.0, Male,Greater than 45,2657,m,0,0.0,588.0,African-American,-,49.0,1
0,Low,0.0,0,0.0,Female,25 - 45,5096,M,0,0.0,456.0,African-American,0.0,38.0,15
0,Low,0.0,0,0.0,Male,Greater than 45,4596,Misdemeanor,1,0.0,624.0,African-American,0.0,52.0,1
0,Medium,2.0,0,0.0,Female,25 - 45,8670,M,0,0.0,372.0,?,2.0,31.0,6
0,Low,1.0,0,0.0,Male,Greater than 45,731,F,0,0.0,696.0,Hispanic,1.0,58.0,1
0,High,0.0,0,0.0,female,25 - 45,8526,M,0,0.0,312.0,African-American,0.0,26.0,9
0,Medium,7.0,0,0.0,Female,25 - 45,5062,F,1,0.0,444.0,Caucasian,7.0,37.0,6
